id,name,image_link,product_link,website_link,product_api_url,api_featured_image
473,CoverGirl truBLEND Blush in Light Rose,"https://d3t32hsnjxo7q6.cloudfront.net/i/0b8787d62ced45700c0693b869645542_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/covergirl-trublend-blush-in-light_112758.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/473.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/473/original/open-uri20171223-4-11ptefh?1514063327
472,Cargo Cosmetics HD Picture Perfect Blush Highlighter,"https://d3t32hsnjxo7q6.cloudfront.net/i/c976f8b3aabe8368fdc673e556159a13_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/cargo-cosmetics-hd-picture-perfect_87679.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/472.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/472/original/data?1514063327
471,Cargo Cosmetics Contour Palette,"https://d3t32hsnjxo7q6.cloudfront.net/i/4117cc2bd124776298f0671de94f07bf_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/cargo-cosmetics-contour-palette_87501.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/471.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/471/original/data?1514063331
470,L'Oreal Paris Infallible Pro-Contour Palette in Medium ,"https://d3t32hsnjxo7q6.cloudfront.net/i/7a31b075cf9c0ae4e6eba9ca61c587a7_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/loreal-paris-infallible-pro-contour_112644.html?cat=328,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/470.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/470/original/open-uri20171223-4-1gr8r81?1514063331
469,Saint Cosmetics Blush,"https://d3t32hsnjxo7q6.cloudfront.net/i/ed6e230c6394a3c6d1904fcd02a4ae3a_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/saint-cosmetics-blush_116825.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/469.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/469/original/open-uri20171223-4-i60yfu?1514063322
468,Maybelline Face Studio Master Hi-Light Light Booster Blush,"https://d3t32hsnjxo7q6.cloudfront.net/i/4621032a92cb428ad640c105b944b39c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88831.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/468.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/468/original/open-uri20171223-4-sz64re?1514063327
467,Sante Rouge,"https://d3t32hsnjxo7q6.cloudfront.net/i/b5dc625e10b6324d1d74a31641f42fa3_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/sante-rouge_51620.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/467.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/467/original/data?1514063326
465,CoverGirl truBLEND Blush in Medium Rose,"https://d3t32hsnjxo7q6.cloudfront.net/i/d8969d390fd94976aee71df780f512f2_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/covergirl-trublend-blush-in-medium_112759.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/465.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/465/original/open-uri20171223-4-edcwc3?1514063326
464,Annabelle Blush ,"https://d3t32hsnjxo7q6.cloudfront.net/i/0af800d01a052da93b9145fb59f849ba_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/annabelle-blush_108726.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/464.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/464/original/data?1514063326
463,NYX High Definition Blush,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4842a84c9c0522ba29f1a856d841b1c_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/nyx-high-definition-blush_118146.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/463.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/463/original/data?1514063326
