color,count
transylvania  ,1
sydney  ,1
seoul ,1
prague  ,1
sandy beige ,1
light to medium ,1
medium to dark ,1
light / medium ,1
warm golden ,1
ivory beige ,1
tender peach ,1
porcelain (110) ,1
toffee (330) ,1
coconut (355) ,1
light beige ,1
creamy natural (7315c) ,1
natural beige (7316c) ,1
amber honey (deep - yellow tone) ,1
f-70 ,1
215,1
110,1
220,1
f01 - light  ,1
fo2 - medium ,1
fo3 - dark ,1
cairo  ,1
creamy natural ,1
buenos aires  ,1
budapest ,1
f-10 ,1
210,1
f-20 ,1
f-30 ,1
f-40 ,1
f-45 ,1
f-50 ,1
f-60 ,1
f-80 ,1
f-90 ,1
f-100 ,1
sun beige (85) ,1
320,1
115,1
beige in banff (medium - cool tones) ,1
warm 1 - for light to medium skin with golden undertones ,1
caramel  ,1
hazelnut ,1
ivory chinook (fair - warm tones) ,1
pacific tan (medium - neutral tones) ,1
prairie rose (fair - cool tones) ,1
creamy natrual (820),1
buff beige (825),1
medium beige (842),1
classic ivory (810),1
olive 2 - for olive skin with green undertones ,1
copenhagen  ,1
105,1
cannes  ,1
honey beige  ,1
sandy beige  ,1
warm porcelain ,1
coconut  ,1
rich tan  ,1
tan  ,1
tawny ,1
golden ,1
ice ,1
bordeaux ,1
niagara overlook ,1
coral ,1
redwood forest ,1
127 a stiff pink ,1
128 pinky promise ,1
129 nudist colony ,1
rouge ,1
coral pink ,1
matte darling ,1
fuchsia ,1
matte confident  ,1
matte blissful  ,1
matte beauty ,1
jewel ,1
pebble ,1
perfect rose ,1
luminous pink ,1
abstract orange ,1
smoky rose ,1
cool berry ,1
kiss me coral ,1
champagne on ice ,1
perfect nude ,1
rose velours ,1
deep nude (lpr02) sheer deep nude ,1
nude (lpr01) sheer nude ,1
125 red-dy or not ,1
124 lady and the vamp ,1
smitten ,1
(300) ,1
matte diva  ,1
bo1 - dusty rose ,1
bo2 - coral ,1
bo3 - bubble gum pink ,1
bo4 - bronzer ,1
bo5 - deep plum ,1
fresh pink ,1
hot tamale ,1
peach satin ,1
plum wine ,1
(301) ,1
crush ,1
(302) ,1
(400) ,1
(401) ,1
(600) ,1
cherish ,1
romantic ,1
honey ,1
audition,1
rendezvous ,1
adore ,1
bliss berry ,1
cruise coffee ,1
getaway berry ,1
berry haute ,1
porcelain pink ,1
plumalicious ,1
certainly red ,1
rose velvet ,1
nude pink  ,1
sandalwood beige ,1
fuchsia fusion ,1
pale pink  ,1
wine with everything cream ,1
mauvy night ,1
peekaboo netural ,1
dolly pink  ,1
pinky  ,1
prune ,1
black cherry ,1
siren ,1
rose  ,1
cherry blossom ,1
rich red  ,1
dash of pink ,1
cranberry ,1
berry sorbet ,1
primrose ,1
currant ,1
hollywood beige ,1
berry ,1
all about pink ,1
always red ,1
au naturale ,1
beyond pink ,1
lasting plum ,1
nudes for life ,1
timeless coral ,1
truly burgundy ,1
java ,1
glam red ,1
strike a rose ,1
cabaret ,1
vintage ,1
coralberry ,1
fire & ice ,1
raisin ,1
toast ,1
love that red ,1
red wine ,1
pink in the afternoon ,1
mauve ,1
bloom ,1
high,1
famous,1
screen queen,1
graphite (black) ,1
black organics (1063c) ,1
ultra black organics (1062c) ,1
blue ,1
black organics ,1
ultra black organics ,1
sapphire for blue eyes   ,1
plum for brown eyes   ,1
219 rose montaigne,1
mocha for green eyes   ,1
midnight for hazel eyes   ,1
rock (brown) ,1
277 osée,1
678 culte,1
365 new world,1
414 saint germain,1
434 promenade,1
458 paris,1
520 feel good,1
602 visionary matte,1
634 strong matte,1
642 ready,1
643 stand out,1
644 sydney,1
652 euphoric matte,1
classic black ,1
207 montaigne matte,1
080 red smile,1
060 première,1
577 lazy,1
620 poisonous,1
674 k-kiss,1
740 club,1
744 party red,1
757 american girl,1
857 hollywood red,1
877 turn me dior,1
882 sassy,1
904 black coffee,1
984 dark flower,1
421 natural beige,1
451 natural coral,1
491 natural rosewood,1
761 natural cherry,1
771 natural berry,1
881 natural pink,1
426 sensual matte,1
481 hypnotic matte,1
861 sophisticated matte ,1
999 metallic,1
028 actrice,1
047 miss,1
663 désir,1
683 rendez-vous,1
554 west coast,1
908 black matte,1
565 versatile satin,1
574 lively matte,1
601 hologlam,1
625 mysterious matte,1
658 extreme matte,1
751 rock'n'metal,1
788 frenetic satin,1
797 savage matte,1
862 hectic matte,1
895 fab satin,1
901 oxblood matte,1
tiger lily (bright coral) ,1
743 rouge zinnia,1
strawberry cream  ,1
sienna (burnt bronze red) ,1
ruby ,1
razzberry (plum) ,1
clay,1
earth,1
peace,1
allure,1
sunlit copper,1
sand light,1
intrigue,1
527 reckless matte,1
515 scandalous metal,1
442 impetuous satin,1
427 delicate satin,1
766 rose harpers,1
771 radiant matte,1
772 classic matte,1
775 darling,1
787 exuberant matte,1
789 superstitious matte,1
844 trafalgar,1
872 victoire,1
897 mysterious matte,1
962 poison matte,1
964 ambitious matte,1
999,1
343 panaréa,1
288 miss crush,1
510 jungle beige,1
534 tempting tangerine,1
582 spicy sweet,1
992 poison purple,1
999 matte metal,1
221 chic matte,1
265 fury matte,1
334 vibrant metal,1
375 spicy metal,1
570 la pink,1
487 bubble,1
unzipped,1
669,1
363 nude,1
453 sideral,1
465 shock,1
553 princess,1
629 mirrored,1
643 everdior,1
649 nova,1
653 sequins,1
656 cosmic,1
662 diorling,1
664 new wave,1
673,1
005 glory,1
676 cruise,1
683 chromic,1
686 fancy,1
765 ultradior,1
785 diorama,1
005 charm,1
006 glory,1
341 pure topaz,1
671 vibrant tourmaline,1
741 deep ruby,1
751 intense garnet,1
267 so real,1
211,1
013 mise en dior,1
004 tiara,1
012 pink,1
ultra black organics (7561c) ,1
black (7884c) ,1
100 blue,1
200 apricot,1
300 yellow,1
400 green,1
011 creme,1
021 linen,1
022 cameo,1
031 sand,1
033 apricot beige,1
040 honey beige,1
050 dark beige,1
060 light mocha,1
001 light,1
002 medium,1
003 dark,1
025 medium beige,1
500 pearly vanilla,1
800 pearly pink,1
001 pink,1
003 sparkling,1
991 bold amethyst,1
008 mitzah,1
457 palm beach,1
685 oversize,1
536 lucky,1
553 smile,1
554 it pink,1
561 wonderful,1
